Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Ramon Sessions,NYK,10,2,0.2,2.9%,2.00,4,0.4,1,0.1,1,0.1,100.0,100.0,50.0%,0.0%,50.0%,0.0%,100.0%,
Raul Neto,UTA,17,4,0.2,4.5%,2.25,9,0.5,3,0.2,3,0.2,100.0,116.7,25.0%,0.0%,0.0%,0.0%,100.0%,
Austin Rivers,LAC,25,27,1.1,6.7%,0.78,21,0.8,6,0.2,20,0.8,30.0,42.5,18.5%,11.1%,18.5%,3.7%,33.3%,36.6
Mike Conley,MEM,12,16,1.3,7.5%,0.69,11,0.9,3,0.3,13,1.1,23.1,30.8,12.5%,6.3%,12.5%,0.0%,31.3%,19.5
Timothé Luwawu-Cabarrot,PHI,26,16,0.6,8.6%,0.94,15,0.6,6,0.2,13,0.5,46.2,57.7,0.0%,18.8%,0.0%,0.0%,37.5%,60.0
Serge Ibaka,TOR,23,2,0.1,0.7%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Norman Powell,TOR,21,5,0.2,2.6%,1.20,6,0.3,2,0.1,3,0.1,66.7,66.7,20.0%,20.0%,20.0%,0.0%,60.0%,
Delon Wright,TOR,14,3,0.2,2.9%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Justin Anderson,PHI,10,1,0.1,1.8%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Wesley Matthews,DAL,28,17,0.6,4.7%,0.65,11,0.4,4,0.1,14,0.5,28.6,35.7,5.9%,11.8%,5.9%,0.0%,29.4%,16.0
James Harden,HOU,25,24,1.0,3.3%,1.21,29,1.2,8,0.3,21,0.8,38.1,52.4,20.8%,0.0%,20.8%,8.3%,45.8%,86.3
PJ Tucker,HOU,25,4,0.2,2.4%,0.50,2,0.1,1,0.0,4,0.2,25.0,25.0,0.0%,0.0%,0.0%,0.0%,25.0%,
Kyle  Anderson,SAS,23,11,0.5,5.2%,1.00,11,0.5,5,0.2,10,0.4,50.0,55.0,0.0%,9.1%,0.0%,0.0%,45.5%,71.1
Robin Lopez,CHI,26,2,0.1,0.6%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Andre Iguodala,GSW,24,7,0.3,4.3%,0.71,5,0.2,2,0.1,5,0.2,40.0,50.0,0.0%,28.6%,0.0%,0.0%,28.6%,
Malachi Richardson,SAC,12,9,0.8,17.6%,0.56,5,0.4,2,0.2,8,0.7,25.0,25.0,11.1%,0.0%,11.1%,0.0%,33.3%,
