Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Omri Casspi,GSW,24,3,0.1,2.4%,1.33,4,0.2,2,0.1,3,0.1,66.7,66.7,33.3%,0.0%,33.3%,33.3%,66.7%,
Tyler Ulis,PHX,28,4,0.1,1.4%,1.25,5,0.2,1,0.0,2,0.1,50.0,75.0,25.0%,25.0%,25.0%,0.0%,50.0%,
Sindarius Thornwell,LAC,25,1,0.0,0.9%,3.00,3,0.1,1,0.0,1,0.0,100.0,150.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Austin Rivers,LAC,25,5,0.2,1.2%,1.00,5,0.2,2,0.1,5,0.2,40.0,50.0,0.0%,0.0%,0.0%,0.0%,40.0%,
Bobby Portis,CHI,17,6,0.4,2.9%,1.83,11,0.6,4,0.2,5,0.3,80.0,100.0,16.7%,0.0%,16.7%,0.0%,83.3%,
Kyle  Anderson,SAS,23,4,0.2,1.9%,1.00,4,0.2,1,0.0,1,0.0,100.0,100.0,25.0%,50.0%,25.0%,0.0%,50.0%,
Shabazz Napier,POR,20,7,0.4,5.3%,1.14,8,0.4,1,0.1,4,0.2,25.0,37.5,42.9%,0.0%,42.9%,0.0%,57.1%,
Maurice  Harkless,POR,24,2,0.1,1.4%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Josh Hart,LAL,21,2,0.1,2.9%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Shaun Livingston,GSW,25,2,0.1,1.4%,2.00,4,0.2,2,0.1,2,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Myles Turner,IND,20,2,0.1,0.7%,1.00,2,0.1,1,0.1,2,0.1,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Hassan Whiteside,MIA,15,3,0.2,1.5%,0.67,2,0.1,1,0.1,2,0.1,50.0,50.0,33.3%,0.0%,33.3%,0.0%,33.3%,
Marcus Morris,BOS,16,7,0.4,3.5%,0.86,6,0.4,2,0.1,7,0.4,28.6,35.7,14.3%,0.0%,14.3%,14.3%,28.6%,
Jared Dudley,PHX,12,2,0.2,4.1%,0.00,0,0.0,0,0.0,2,0.2,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Malik Monk,CHA,11,14,1.3,10.5%,0.57,8,0.7,4,0.4,12,1.1,33.3,33.3,0.0%,14.3%,0.0%,0.0%,28.6%,11.9
Enes Kanter,NYK,24,2,0.1,0.7%,1.00,2,0.1,1,0.0,2,0.1,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Malik Beasley,DEN,24,9,0.4,8.8%,0.22,2,0.1,1,0.0,8,0.3,12.5,12.5,0.0%,11.1%,0.0%,0.0%,11.1%,
Sean Kilpatrick,BKN,16,3,0.2,2.7%,1.00,3,0.2,0,0.0,2,0.1,0.0,0.0,33.3%,0.0%,33.3%,0.0%,33.3%,
Spencer Dinwiddie,BKN,25,5,0.2,1.6%,1.00,5,0.2,1,0.0,4,0.2,25.0,37.5,20.0%,0.0%,20.0%,0.0%,40.0%,
Marcin Gortat,WAS,27,2,0.1,0.8%,2.00,4,0.1,1,0.0,1,0.0,100.0,100.0,50.0%,0.0%,50.0%,0.0%,100.0%,
Dwyane Wade,CLE,26,3,0.1,0.9%,0.67,2,0.1,1,0.0,3,0.1,33.3,33.3,0.0%,0.0%,0.0%,0.0%,33.3%,
Markieff Morris,WAS,20,13,0.7,6.0%,0.77,10,0.5,4,0.2,12,0.6,33.3,33.3,15.4%,0.0%,15.4%,7.7%,38.5%,19.8
Julius Randle,LAL,26,2,0.1,0.6%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
