Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Jamil Wilson,LAC,15,4,0.3,4.4%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,75.0%,0.0%,0.0%,0.0%,
Montrezl Harrell,LAC,27,7,0.3,4.2%,0.86,6,0.2,0,0.0,0,0.0,0.0,0.0,57.1%,42.9%,14.3%,0.0%,57.1%,
Tyler Cavanaugh,ATL,22,5,0.2,4.9%,1.00,5,0.2,0,0.0,0,0.0,0.0,0.0,60.0%,40.0%,0.0%,0.0%,60.0%,
Miles Plumlee,ATL,15,13,0.9,16.5%,0.38,5,0.3,0,0.0,0,0.0,0.0,0.0,30.8%,69.2%,7.7%,0.0%,23.1%,37.3
Tony Parker,SAS,12,2,0.2,1.7%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Trey Lyles,DEN,30,15,0.5,6.4%,0.73,11,0.4,2,0.1,6,0.2,33.3,33.3,26.7%,33.3%,6.7%,0.0%,40.0%,83.3
Sam Dekker,LAC,29,11,0.4,7.3%,0.55,6,0.2,2,0.1,6,0.2,33.3,41.7,9.1%,36.4%,0.0%,0.0%,27.3%,60.2
Chris Paul,HOU,16,18,1.1,7.1%,0.67,12,0.8,1,0.1,4,0.3,25.0,37.5,27.8%,50.0%,0.0%,0.0%,33.3%,75.4
Langston Galloway,DET,30,7,0.2,3.8%,1.00,7,0.2,1,0.0,3,0.1,33.3,33.3,42.9%,14.3%,0.0%,0.0%,57.1%,
Deyonta Davis,MEM,22,10,0.5,12.7%,0.60,6,0.3,1,0.0,1,0.0,100.0,100.0,30.0%,70.0%,10.0%,10.0%,30.0%,68.4
Guillermo Hernangomez,NYK,15,5,0.3,5.8%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,20.0%,80.0%,0.0%,0.0%,0.0%,
Juan Hernangomez,DEN,17,4,0.2,6.7%,1.00,4,0.2,0,0.0,0,0.0,0.0,0.0,50.0%,50.0%,25.0%,0.0%,50.0%,
Jose Calderon,CLE,26,4,0.2,3.7%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Channing Frye,CLE,31,8,0.3,6.7%,0.25,2,0.1,0,0.0,0,0.0,0.0,0.0,12.5%,87.5%,0.0%,0.0%,12.5%,
Arron Afflalo,ORL,26,5,0.2,5.6%,0.80,4,0.2,1,0.0,3,0.1,33.3,50.0,20.0%,20.0%,20.0%,0.0%,40.0%,
Maxi Kleber,DAL,30,4,0.1,2.5%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,75.0%,0.0%,0.0%,0.0%,
Richaun Holmes,PHI,18,7,0.4,5.7%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,71.4%,0.0%,0.0%,0.0%,
Rajon Rondo,NOP,20,18,0.9,10.4%,0.44,8,0.4,3,0.2,5,0.3,60.0,80.0,0.0%,72.2%,0.0%,0.0%,16.7%,46.2
Dakari Johnson,OKC,6,3,0.5,14.3%,1.00,3,0.5,0,0.0,0,0.0,0.0,0.0,66.7%,33.3%,0.0%,0.0%,66.7%,
Nicolas Batum,CHA,20,18,0.9,7.5%,0.28,5,0.3,2,0.1,5,0.3,40.0,40.0,5.6%,66.7%,0.0%,0.0%,16.7%,20.5
JaMychal Green,MEM,20,17,0.9,8.1%,0.24,4,0.2,2,0.1,3,0.2,66.7,66.7,0.0%,82.4%,0.0%,0.0%,11.8%,14.9
Antonio Blakeney,CHI,11,3,0.3,3.2%,0.00,0,0.0,0,0.0,2,0.2,0.0,0.0,0.0%,33.3%,0.0%,0.0%,0.0%,
Omri Casspi,GSW,31,25,0.8,13.9%,0.56,14,0.5,3,0.1,6,0.2,50.0,50.0,20.0%,56.0%,12.0%,0.0%,32.0%,62.5
Marreese Speights,ORL,26,8,0.3,4.1%,0.25,2,0.1,0,0.0,1,0.0,0.0,0.0,25.0%,62.5%,0.0%,0.0%,25.0%,
Jonas Jerebko,UTA,30,9,0.3,5.1%,0.44,4,0.1,0,0.0,0,0.0,0.0,0.0,22.2%,77.8%,0.0%,0.0%,22.2%,
Ben McLemore,MEM,21,7,0.3,4.5%,0.57,4,0.2,2,0.1,2,0.1,100.0,100.0,0.0%,71.4%,0.0%,0.0%,28.6%,
Jawun Evans,LAC,26,13,0.5,6.6%,0.38,5,0.2,1,0.0,4,0.2,25.0,25.0,15.4%,53.8%,0.0%,0.0%,23.1%,37.3
Bryn Forbes,SAS,34,3,0.1,1.3%,0.33,1,0.0,0,0.0,1,0.0,0.0,0.0,33.3%,33.3%,0.0%,0.0%,33.3%,
Shabazz Napier,POR,27,6,0.2,2.8%,1.00,6,0.2,2,0.1,3,0.1,66.7,66.7,16.7%,33.3%,16.7%,0.0%,50.0%,
Dragan Bender,PHX,36,12,0.3,5.4%,0.17,2,0.1,0,0.0,1,0.0,0.0,0.0,16.7%,75.0%,0.0%,0.0%,16.7%,7.5
Marcus Morris,BOS,17,18,1.1,8.7%,0.28,5,0.3,1,0.1,7,0.4,14.3,14.3,11.1%,50.0%,0.0%,0.0%,16.7%,20.5
Malik Monk,CHA,11,8,0.7,6.0%,0.25,2,0.2,0,0.0,4,0.4,0.0,0.0,12.5%,37.5%,0.0%,0.0%,12.5%,
Markieff Morris,WAS,27,25,0.9,8.3%,0.56,14,0.5,2,0.1,5,0.2,40.0,50.0,20.0%,60.0%,0.0%,0.0%,28.0%,62.5
Vince Carter,SAC,21,3,0.1,3.3%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Michael Carter-Williams,CHA,23,14,0.6,8.9%,0.57,8,0.3,0,0.0,2,0.1,0.0,0.0,42.9%,42.9%,0.0%,0.0%,35.7%,64.4
Ian Clark,NOP,28,3,0.1,1.8%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,66.7%,0.0%,0.0%,0.0%,
Garrett Temple,SAC,33,12,0.4,4.1%,0.08,1,0.0,0,0.0,5,0.2,0.0,0.0,8.3%,50.0%,0.0%,0.0%,8.3%,2.7
Bobby Portis,CHI,25,13,0.5,4.3%,0.23,3,0.1,0,0.0,5,0.2,0.0,0.0,15.4%,46.2%,0.0%,0.0%,15.4%,14.1
