Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
DAngelo Russell,BKN,12,40,3.3,14.3%,0.93,37,3.1,15,1.3,26,2.2,57.7,63.5,12.5%,27.5%,12.5%,5.0%,42.5%,26.1
Evan Turner,POR,26,38,1.5,14.6%,0.76,29,1.1,10,0.4,23,0.9,43.5,47.8,10.5%,28.9%,7.9%,0.0%,36.8%,9.8
Elfrid Payton,ORL,19,77,4.1,31.7%,1.00,77,4.1,35,1.8,55,2.9,63.6,64.5,11.7%,23.4%,10.4%,6.5%,48.1%,37.8
Shabazz Napier,POR,20,13,0.7,9.8%,1.92,25,1.3,8,0.4,11,0.6,72.7,81.8,38.5%,0.0%,30.8%,23.1%,76.9%,99.7
Lance Stephenson,IND,27,41,1.5,16.0%,0.98,40,1.5,15,0.6,23,0.9,65.2,65.2,22.0%,26.8%,19.5%,4.9%,53.7%,32.4
JJ Redick,PHI,25,72,2.9,18.3%,0.99,71,2.8,24,1.0,64,2.6,37.5,51.6,2.8%,8.3%,1.4%,0.0%,36.1%,34.6
De Aaron Fox,SAC,27,84,3.1,23.5%,0.86,72,2.7,28,1.0,65,2.4,43.1,43.8,16.7%,10.7%,13.1%,4.8%,44.0%,16.7
Goran Dragic,MIA,26,75,2.9,16.3%,1.05,79,3.0,31,1.2,58,2.2,53.4,56.9,14.7%,13.3%,12.0%,5.3%,49.3%,51.6
Ben Simmons,PHI,26,82,3.2,15.2%,1.05,86,3.3,39,1.5,57,2.2,68.4,68.4,6.1%,24.4%,6.1%,0.0%,53.7%,50.7
Willie Cauley-Stein,SAC,24,17,0.7,6.4%,1.47,25,1.0,11,0.5,13,0.5,84.6,84.6,17.6%,11.8%,17.6%,5.9%,76.5%,94.8
J.J. Barea,DAL,28,39,1.4,10.7%,0.87,34,1.2,16,0.6,28,1.0,57.1,60.7,2.6%,28.2%,2.6%,2.6%,41.0%,19.9
John Collins,ATL,21,13,0.6,5.8%,1.38,18,0.9,7,0.3,9,0.4,77.8,77.8,23.1%,15.4%,23.1%,7.7%,69.2%,89.5
Tobias Harris,DET,27,64,2.4,14.6%,1.42,91,3.4,34,1.3,56,2.1,60.7,71.4,12.5%,6.3%,12.5%,6.3%,59.4%,91.5
Malcolm Brogdon,MIL,24,51,2.1,16.5%,1.02,52,2.2,18,0.8,42,1.8,42.9,52.4,7.8%,9.8%,7.8%,0.0%,43.1%,44.1
Thabo Sefolosha,UTA,26,47,1.8,25.7%,1.26,59,2.3,21,0.8,34,1.3,61.8,67.6,17.0%,14.9%,14.9%,4.3%,57.4%,76.8
Buddy Hield,SAC,25,80,3.2,25.2%,1.01,81,3.2,33,1.3,64,2.6,51.6,59.4,5.0%,17.5%,5.0%,2.5%,43.8%,42.8
Robert Covington,PHI,25,87,3.5,24.5%,1.03,90,3.6,31,1.2,75,3.0,41.3,52.7,8.0%,5.7%,8.0%,0.0%,43.7%,46.9
Jerryd Bayless,PHI,22,54,2.5,27.4%,1.06,57,2.6,19,0.9,44,2.0,43.2,58.0,5.6%,13.0%,3.7%,0.0%,40.7%,52.3
Caris LeVert,BKN,26,69,2.7,20.3%,1.16,80,3.1,31,1.2,54,2.1,57.4,63.9,17.4%,10.1%,17.4%,5.8%,55.1%,63.4
John Wall,WAS,16,82,5.1,23.0%,1.04,85,5.3,27,1.7,56,3.5,48.2,55.4,22.0%,14.6%,17.1%,4.9%,47.6%,48.4
Bradley Beal,WAS,27,89,3.3,13.9%,1.31,117,4.3,39,1.4,69,2.6,56.5,67.4,16.9%,9.0%,13.5%,3.4%,57.3%,83.7
Alec Burks,UTA,26,43,1.7,16.3%,1.26,54,2.1,21,0.8,34,1.3,61.8,64.7,14.0%,11.6%,14.0%,4.7%,58.1%,77.1
Rudy Gay,SAS,26,41,1.6,12.3%,1.07,44,1.7,15,0.6,28,1.1,53.6,62.5,17.1%,14.6%,17.1%,0.0%,51.2%,55.2
Evan Fournier,ORL,26,67,2.6,14.9%,0.96,64,2.5,24,0.9,54,2.1,44.4,50.0,7.5%,11.9%,7.5%,0.0%,43.3%,29.7
Rondae Hollis-Jefferson,BKN,23,74,3.2,23.1%,0.91,67,2.9,21,0.9,54,2.3,38.9,38.9,23.0%,9.5%,21.6%,5.4%,44.6%,22.2
Thaddeus Young,IND,27,45,1.7,12.3%,1.29,58,2.1,26,1.0,37,1.4,70.3,77.0,2.2%,13.3%,4.4%,0.0%,60.0%,81.0
Marc Gasol,MEM,27,31,1.1,5.5%,1.00,31,1.1,10,0.4,26,1.0,38.5,46.2,12.9%,3.2%,9.7%,0.0%,45.2%,37.8
Will Barton,DEN,27,103,3.8,25.0%,1.24,128,4.7,48,1.8,80,3.0,60.0,67.5,14.6%,10.7%,14.6%,2.9%,58.3%,74.5
TJ Warren,PHX,29,116,4.0,21.0%,1.18,137,4.7,57,2.0,97,3.3,58.8,59.3,15.5%,7.8%,15.5%,6.9%,56.9%,66.7
Pat Connaughton,POR,26,23,0.9,14.5%,0.65,15,0.6,5,0.2,21,0.8,23.8,31.0,4.3%,4.3%,0.0%,0.0%,26.1%,5.2
Dennis Smith Jr.,DAL,23,61,2.7,14.4%,0.98,60,2.6,22,1.0,45,2.0,48.9,54.4,13.1%,14.8%,9.8%,1.6%,47.5%,34.0
