Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Josh Huestis,OKC,29,6,0.2,6.2%,1.33,8,0.3,4,0.1,6,0.2,66.7,66.7,0.0%,0.0%,0.0%,0.0%,66.7%,
Nikola Mirotic,CHI,11,6,0.5,3.8%,1.83,11,1.0,5,0.5,5,0.5,100.0,100.0,16.7%,0.0%,16.7%,0.0%,100.0%,
Arron Afflalo,ORL,26,1,0.0,1.1%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Luke Kennard,DET,28,3,0.1,1.6%,0.67,2,0.1,1,0.0,2,0.1,50.0,50.0,0.0%,33.3%,0.0%,0.0%,33.3%,
Reggie Jackson,DET,33,3,0.1,0.6%,1.33,4,0.1,1,0.0,2,0.1,50.0,50.0,33.3%,0.0%,33.3%,0.0%,66.7%,
JR Smith,CLE,34,1,0.0,0.3%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Alec Burks,UTA,35,5,0.1,1.4%,1.40,7,0.2,3,0.1,4,0.1,75.0,75.0,20.0%,0.0%,20.0%,0.0%,80.0%,
Patrick Patterson,OKC,35,3,0.1,2.4%,0.67,2,0.1,0,0.0,1,0.0,0.0,0.0,33.3%,33.3%,33.3%,0.0%,33.3%,
Langston Galloway,DET,30,2,0.1,1.1%,1.00,2,0.1,1,0.0,2,0.1,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Omer Asik,NOP,7,1,0.1,7.1%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Jordan Bell,GSW,29,22,0.8,15.7%,1.18,26,0.9,13,0.4,20,0.7,65.0,65.0,0.0%,9.1%,0.0%,0.0%,59.1%,63.7
Frank Ntilikina,NYK,31,1,0.0,0.4%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Montrezl Harrell,LAC,27,25,0.9,15.0%,1.00,25,0.9,11,0.4,21,0.8,52.4,52.4,12.0%,4.0%,12.0%,0.0%,52.0%,31.7
Tyler Cavanaugh,ATL,22,11,0.5,10.8%,1.00,11,0.5,5,0.2,10,0.5,50.0,50.0,9.1%,0.0%,9.1%,0.0%,54.5%,31.7
JaKarr Sampson,SAC,6,5,0.8,20.0%,1.60,8,1.3,4,0.7,5,0.8,80.0,80.0,0.0%,0.0%,0.0%,0.0%,80.0%,
Isaiah Whitehead,BKN,10,2,0.2,2.2%,2.00,4,0.4,2,0.2,2,0.2,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Miles Plumlee,ATL,15,10,0.7,12.7%,1.20,12,0.8,6,0.4,9,0.6,66.7,66.7,0.0%,10.0%,0.0%,0.0%,60.0%,67.4
Tony Parker,SAS,12,1,0.1,0.8%,2.00,2,0.2,1,0.1,1,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Trey Lyles,DEN,30,16,0.5,6.8%,1.38,22,0.7,10,0.3,15,0.5,66.7,66.7,6.3%,0.0%,12.5%,0.0%,68.8%,87.3
Sam Dekker,LAC,29,9,0.3,6.0%,1.33,12,0.4,5,0.2,8,0.3,62.5,62.5,11.1%,0.0%,11.1%,0.0%,66.7%,
Tim Frazier,WAS,32,1,0.0,0.6%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Jerryd Bayless,PHI,28,2,0.1,0.8%,1.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,50.0%,0.0%,0.0%,50.0%,
Tyus Jones,MIN,35,1,0.0,0.7%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
DJ Augustin,ORL,28,4,0.1,1.6%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Jamal Crawford,MIN,35,1,0.0,0.3%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Vince Carter,SAC,21,3,0.1,3.3%,0.67,2,0.1,1,0.0,3,0.1,33.3,33.3,0.0%,0.0%,0.0%,0.0%,33.3%,
Chris Paul,HOU,16,3,0.2,1.2%,1.33,4,0.3,2,0.1,3,0.2,66.7,66.7,0.0%,0.0%,0.0%,0.0%,66.7%,
Deyonta Davis,MEM,22,14,0.6,17.7%,1.21,17,0.8,8,0.4,13,0.6,61.5,61.5,7.1%,0.0%,7.1%,0.0%,64.3%,70.3
Guillermo Hernangomez,NYK,15,12,0.8,14.0%,1.00,12,0.8,6,0.4,11,0.7,54.5,54.5,0.0%,8.3%,0.0%,0.0%,50.0%,31.7
Patty Mills,SAS,35,2,0.1,0.6%,1.50,3,0.1,1,0.0,1,0.0,100.0,150.0,0.0%,50.0%,0.0%,0.0%,50.0%,
Antonio Blakeney,CHI,11,2,0.2,2.2%,1.00,2,0.2,1,0.1,2,0.2,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
