Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Rondae Hollis-Jefferson,BKN,31,40,1.3,8.9%,1.23,49,1.6,18,0.6,32,1.0,56.3,56.3,22.5%,5.0%,22.5%,7.5%,60.0%,72.2
Allen Crabbe,BKN,30,2,0.1,0.6%,2.50,5,0.2,2,0.1,2,0.1,100.0,125.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Amir Johnson,PHI,31,27,0.9,16.4%,1.00,27,0.9,12,0.4,21,0.7,57.1,57.1,7.4%,14.8%,7.4%,0.0%,51.9%,37.4
Ian Mahinmi,WAS,33,16,0.5,10.7%,0.63,10,0.3,2,0.1,9,0.3,22.2,22.2,25.0%,18.8%,18.8%,0.0%,37.5%,2.6
Brandan Wright,MEM,19,21,1.1,23.1%,1.29,27,1.4,11,0.6,18,0.9,61.1,61.1,19.0%,0.0%,19.0%,4.8%,66.7%,82.8
Rudy Gobert,UTA,18,47,2.6,23.5%,1.26,59,3.3,24,1.3,37,2.1,64.9,64.9,17.0%,8.5%,14.9%,4.3%,63.8%,78.1
Joffrey Lauvergne,SAS,20,24,1.2,24.2%,1.25,30,1.5,13,0.7,20,1.0,65.0,65.0,12.5%,4.2%,12.5%,0.0%,66.7%,77.2
Meyers Leonard,POR,12,15,1.3,29.4%,1.07,16,1.3,6,0.5,14,1.2,42.9,46.4,13.3%,0.0%,13.3%,6.7%,46.7%,52.3
Jusuf Nurkic,POR,30,151,5.0,28.6%,0.99,150,5.0,67,2.2,124,4.1,54.0,54.0,11.9%,11.3%,11.9%,5.3%,50.3%,35.8
Joel Embiid,PHI,25,53,2.1,8.6%,0.98,52,2.1,18,0.7,36,1.4,50.0,54.2,17.0%,18.9%,13.2%,3.8%,45.3%,33.8
Giannis Antetokounmpo,MIL,30,63,2.1,7.8%,1.13,71,2.4,29,1.0,49,1.6,59.2,60.2,14.3%,7.9%,14.3%,0.0%,58.7%,58.3
Marquese Chriss,PHX,36,27,0.8,9.9%,0.74,20,0.6,5,0.1,19,0.5,26.3,31.6,22.2%,7.4%,22.2%,0.0%,40.7%,7.3
Tyson Chandler,PHX,26,43,1.7,26.5%,1.37,59,2.3,24,0.9,36,1.4,66.7,66.7,16.3%,0.0%,16.3%,0.0%,72.1%,90.1
James Johnson,MIA,29,17,0.6,5.1%,1.00,17,0.6,6,0.2,10,0.3,60.0,65.0,23.5%,23.5%,23.5%,5.9%,47.1%,37.4
Skal Labissière,SAC,29,38,1.3,16.2%,0.97,37,1.3,15,0.5,32,1.1,46.9,46.9,10.5%,5.3%,10.5%,0.0%,50.0%,31.8
Taj Gibson,MIN,35,50,1.4,13.0%,1.28,64,1.8,25,0.7,37,1.1,67.6,67.6,18.0%,10.0%,16.0%,2.0%,64.0%,82.1
Pau Gasol,SAS,33,85,2.6,24.0%,1.22,104,3.2,43,1.3,78,2.4,55.1,59.6,8.2%,3.5%,7.1%,3.5%,55.3%,71.5
Dewayne Dedmon,ATL,20,54,2.7,27.1%,1.13,61,3.1,27,1.4,46,2.3,58.7,59.8,13.0%,11.1%,13.0%,9.3%,53.7%,59.6
Harrison Barnes,DAL,36,41,1.1,6.0%,1.02,42,1.2,16,0.4,36,1.0,44.4,47.2,12.2%,0.0%,9.8%,0.0%,51.2%,41.7
Derrick Favors,UTA,34,105,3.1,26.3%,1.05,110,3.2,42,1.2,80,2.4,52.5,52.5,21.0%,9.5%,21.0%,6.7%,52.4%,48.7
LaMarcus Aldridge,SAS,34,131,3.9,18.5%,1.04,136,4.0,58,1.7,118,3.5,49.2,50.0,8.4%,3.1%,8.4%,2.3%,50.4%,44.4
Marcin Gortat,WAS,35,67,1.9,20.7%,0.73,49,1.4,20,0.6,53,1.5,37.7,37.7,14.9%,10.4%,13.4%,4.5%,40.3%,5.3
John Collins,ATL,28,89,3.2,30.5%,1.04,93,3.3,40,1.4,73,2.6,54.8,54.8,13.5%,6.7%,12.4%,2.2%,55.1%,47.7
Kelly Olynyk,MIA,34,64,1.9,18.6%,1.19,76,2.2,26,0.8,52,1.5,50.0,65.4,9.4%,10.9%,9.4%,1.6%,46.9%,65.6
Aaron Gordon,ORL,26,23,0.9,5.3%,1.52,35,1.3,11,0.4,19,0.7,57.9,73.7,17.4%,4.3%,17.4%,4.3%,60.9%,96.0
Justise Winslow,MIA,27,10,0.4,4.7%,0.80,8,0.3,3,0.1,8,0.3,37.5,43.8,10.0%,10.0%,10.0%,0.0%,40.0%,12.0
