,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,FGM,FGA,FGM PG,FGA PG,FG%,GP RANK,W RANK,L RANK,MIN RANK,OFFRTG RANK,DEFRTG RANK,NETRTG RANK,AST% RANK,AST/TO RANK,AST Ratio RANK,OREB% RANK,DREB% RANK,REB% RANK,TO Ratio RANK,eFG% RANK,TS% RANK,USG% RANK,PACE RANK,PIE RANK,FGM RANK,FGA RANK,FGM PG RANK,FGA PG RANK,FG% RANK
,Treveon Graham,CHA,24,16,6,10,18.0,95.9,103.1,-7.3,12.2,2.56,21.6,4.5,8.3,6.4,8.4,52.9,56.3,12.5,101.67,6.4
,Michael Kidd-Gilchrist,CHA,24,20,9,11,26.6,109.3,103.1,6.2,5.0,2.25,8.6,4.3,13.7,9.1,3.8,50.0,52.5,15.6,100.36,8.3
,Nicolas Batum,CHA,28,12,4,8,29.4,104.2,102.7,1.5,22.6,2.12,25.5,2.1,13.5,7.7,12.0,41.9,46.6,18.7,101.80,8.9
,Johnny O'Bryant III,CHA,24,12,4,8,9.0,82.8,106.3,-23.5,10.0,1.00,7.2,5.7,21.1,12.4,7.2,40.9,46.3,26.0,103.09,11.4
,Marvin Williams,CHA,31,26,10,16,26.6,107.9,104.9,2.9,6.3,2.14,12.2,4.0,13.8,9.0,5.7,59.8,62.9,13.5,101.00,9.8
,Cody Zeller,CHA,25,19,7,12,19.9,100.6,104.2,-3.6,6.6,0.76,10.2,12.3,17.4,14.7,13.3,50.0,56.8,15.9,101.28,8.9
,Frank Kaminsky,CHA,24,23,9,14,23.1,100.2,106.9,-6.7,11.1,1.79,11.9,2.4,16.9,9.5,6.7,48.3,51.8,20.7,101.20,10.0
,Dwayne Bacon,CHA,22,25,10,15,17.4,98.4,104.0,-5.6,7.0,1.43,13.8,0.2,20.0,9.8,9.7,41.5,43.3,12.3,102.07,5.6
,Malik Monk,CHA,19,23,7,16,16.4,93.7,107.9,-14.2,17.3,2.05,16.9,0.5,8.8,4.5,8.2,41.5,43.2,21.6,103.41,5.2
,Mangok Mathiang,CHA,25,1,1,0,3.5,33.3,100.0,-66.7,0.0,0.00,0.0,16.7,25.0,20.0,0.0,0.0,0.0,25.0,90.00,-5.6
,Jeremy Lamb,CHA,25,25,10,15,27.5,106.4,104.4,2.0,17.7,1.76,16.3,2.0,17.4,9.8,9.2,49.3,54.4,24.0,101.41,12.2
,Kemba Walker,CHA,27,24,10,14,35.4,109.7,102.5,7.2,28.2,3.02,22.3,1.7,9.0,5.4,7.4,50.7,57.6,26.7,100.23,14.4
,Dwight Howard,CHA,32,26,10,16,29.8,106.5,103.4,3.1,6.7,0.33,6.3,12.7,30.9,21.9,19.0,56.2,56.4,25.9,100.82,12.0
,Antonio Blakeney,CHI,21,11,1,10,14.9,100.4,109.3,-8.9,7.1,0.88,7.0,2.0,11.6,6.7,8.0,41.6,45.7,25.5,98.39,5.9
,Nikola Mirotic,CHI,26,3,3,0,22.2,106.4,98.7,7.7,0.0,0.00,0.0,3.0,19.4,10.9,2.7,69.4,68.4,24.2,98.34,15.1
,David Nwaba,CHI,24,14,5,9,22.8,104.4,101.3,3.0,10.2,2.44,17.6,3.2,22.5,13.0,7.2,58.7,61.8,14.3,98.78,11.8
,Paul Zipser,CHI,23,23,5,18,16.5,96.1,111.7,-15.7,10.2,1.25,15.2,1.5,20.8,10.9,12.2,38.8,39.3,17.0,95.93,4.6
,Bobby Portis,CHI,22,17,4,13,21.4,106.0,112.9,-6.8,12.3,1.29,11.6,8.8,25.9,16.9,9.0,54.7,57.0,24.8,99.98,13.9
,Jerian Grant,CHI,25,26,6,20,23.9,100.4,111.5,-11.2,33.3,3.72,35.1,2.5,10.3,6.2,9.4,48.1,53.2,17.7,97.28,9.9
