Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Joel Bolomboy,MIL,2,1,0.5,14.3%,0.00,0,0.0,0,0.0,1,0.5,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Channing Frye,CLE,26,45,1.7,43.3%,1.00,45,1.7,17,0.7,45,1.7,37.8,50.0,0.0%,0.0%,0.0%,0.0%,37.8%,51.0
Juan Hernangomez,DEN,14,30,2.1,54.5%,0.73,22,1.6,7,0.5,28,2.0,25.0,37.5,3.3%,3.3%,3.3%,0.0%,26.7%,14.9
Rajon Rondo,NOP,14,27,1.9,20.6%,0.81,22,1.6,9,0.6,25,1.8,36.0,44.0,0.0%,7.4%,0.0%,0.0%,33.3%,23.8
John Holland,CLE,1,1,1.0,50.0%,0.00,0,0.0,0,0.0,1,1.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Jarrett Allen,BKN,18,5,0.3,5.6%,1.40,7,0.4,3,0.2,5,0.3,60.0,70.0,0.0%,0.0%,0.0%,0.0%,60.0%,
Lorenzo Brown,TOR,4,4,1.0,66.7%,0.00,0,0.0,0,0.0,4,1.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Chris Paul,HOU,11,12,1.1,7.5%,1.92,23,2.1,7,0.6,11,1.0,63.6,90.9,8.3%,0.0%,8.3%,0.0%,66.7%,100.0
JaMychal Green,MEM,15,48,3.2,31.8%,1.00,48,3.2,17,1.1,43,2.9,39.5,51.2,4.2%,6.3%,4.2%,0.0%,39.6%,51.0
Nicolas Batum,CHA,12,16,1.3,10.5%,0.63,10,0.8,4,0.3,15,1.3,26.7,33.3,0.0%,6.3%,0.0%,0.0%,25.0%,8.4
Antonio Blakeney,CHI,11,24,2.2,25.8%,0.67,16,1.5,6,0.5,22,2.0,27.3,34.1,4.2%,4.2%,4.2%,0.0%,29.2%,10.3
Dakari Johnson,OKC,6,2,0.3,9.5%,1.00,2,0.3,1,0.2,2,0.3,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Jonas Jerebko,UTA,22,58,2.6,49.2%,1.26,73,3.3,26,1.2,54,2.5,48.1,65.7,1.7%,5.2%,1.7%,0.0%,46.6%,91.6
Omri Casspi,GSW,24,21,0.9,17.1%,1.33,28,1.2,11,0.5,18,0.8,61.1,77.8,0.0%,14.3%,0.0%,0.0%,52.4%,94.1
Richaun Holmes,PHI,13,17,1.3,20.0%,1.06,18,1.4,7,0.5,16,1.2,43.8,53.1,5.9%,5.9%,5.9%,5.9%,41.2%,62.9
Ben McLemore,MEM,16,44,2.8,35.5%,0.77,34,2.1,13,0.8,40,2.5,32.5,42.5,0.0%,9.1%,0.0%,0.0%,29.5%,20.1
Jawun Evans,LAC,18,38,2.1,36.2%,0.82,31,1.7,13,0.7,36,2.0,36.1,40.3,5.3%,2.6%,5.3%,2.6%,36.8%,24.1
Ekpe Udoh,UTA,25,1,0.0,1.4%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Isaiah Whitehead,BKN,9,12,1.3,15.6%,0.67,8,0.9,2,0.2,7,0.8,28.6,35.7,25.0%,25.0%,25.0%,8.3%,33.3%,10.3
