TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"
DET

",12/14/2010,DET vs. ATL,W,240,103,37,78,47.4,10,22,45.5,19,21,90.5,10,33,43,26,9,6,12,15,23
"
DET

",12/11/2010,DET vs. TOR,L,239,116,47,89,52.8,6,16,37.5,16,23,69.6,15,24,39,30,9,2,12,25,-4
"
DET

",12/10/2010,DET @ MIN,L,241,99,32,83,38.6,4,12,33.3,31,36,86.1,14,24,38,20,6,5,12,20,-10
"
DET

",12/08/2010,DET @ NOH,L,240,74,30,80,37.5,4,20,20.0,10,18,55.6,14,30,44,15,8,6,12,21,-19
"
DET

",12/07/2010,DET @ HOU,L,241,83,30,72,41.7,6,17,35.3,17,21,81.0,9,27,36,14,7,4,18,21,-14
"
DET

",12/05/2010,DET vs. CLE,W,240,102,38,81,46.9,9,20,45.0,17,21,81.0,14,30,44,23,6,7,15,19,10
"
DET

",12/03/2010,DET vs. ORL,L,239,91,34,70,48.6,9,18,50.0,14,19,73.7,3,19,22,24,7,2,12,18,-13
"
DET

",12/01/2010,DET @ MIA,L,240,72,28,76,36.8,5,19,26.3,11,19,57.9,13,26,39,11,5,3,16,16,-25
"
DET

",11/30/2010,DET @ ORL,L,240,79,32,75,42.7,4,16,25.0,11,12,91.7,8,28,36,22,9,5,13,20,-11
"
DET

",11/28/2010,DET vs. NYK,L,290,116,42,92,45.7,5,13,38.5,27,28,96.4,10,31,41,25,8,4,13,26,-9
"
DET

",11/26/2010,DET vs. MIL,W,239,103,41,73,56.2,7,14,50.0,14,17,82.4,7,29,36,28,5,4,15,22,14
"
DET

",11/24/2010,DET @ MEM,L,240,84,32,80,40.0,3,10,30.0,17,20,85.0,11,30,41,11,3,5,13,16,-21
"
DET

",11/23/2010,DET @ DAL,L,240,84,31,73,42.5,3,8,37.5,19,26,73.1,11,35,46,11,1,3,15,19,-4
"
DET

",11/21/2010,DET vs. WAS,W,266,115,45,92,48.9,7,15,46.7,18,28,64.3,15,29,44,23,5,4,9,19,5
"
DET

",11/17/2010,DET vs. LAL,L,238,90,35,89,39.3,4,16,25.0,16,21,76.2,11,30,41,18,5,5,5,20,-13
"
DET

",11/15/2010,DET @ GSW,L,239,97,33,74,44.6,7,19,36.8,24,36,66.7,9,33,42,22,8,3,16,20,-4
"
DET

",11/14/2010,DET @ SAC,W,240,100,41,76,53.9,3,9,33.3,15,19,78.9,9,28,37,18,7,5,12,17,6
"
DET

",11/12/2010,DET @ LAC,W,264,113,39,82,47.6,11,18,61.1,24,36,66.7,7,27,34,21,10,3,11,25,6
"
DET

",11/09/2010,DET @ POR,L,239,78,31,73,42.5,6,17,35.3,10,18,55.6,6,27,33,16,7,5,17,18,-22
"
DET

",11/07/2010,DET vs. GSW,W,240,102,37,82,45.1,9,17,52.9,19,28,67.9,13,33,46,27,8,4,11,17,5
"
DET

",11/05/2010,DET vs. CHA,W,241,97,32,75,42.7,7,13,53.8,26,27,96.3,9,22,31,14,11,3,12,13,7
"
DET

",11/03/2010,DET @ ATL,L,241,85,36,90,40.0,3,17,17.6,10,15,66.7,17,21,38,21,7,2,8,21,-9
"
DET

",11/02/2010,DET vs. BOS,L,239,86,35,78,44.9,2,9,22.2,14,20,70.0,11,27,38,13,2,2,17,19,-23
"
DET

",10/30/2010,DET @ CHI,L,242,91,31,82,37.8,5,18,27.8,24,35,68.6,12,32,44,14,8,7,16,25,-10
"
DET

",10/29/2010,DET vs. OKC,L,240,104,40,85,47.1,8,12,66.7,16,20,80.0,15,28,43,16,1,7,18,27,-1
"
DET

",10/27/2010,DET @ NJN,L,240,98,37,83,44.6,8,19,42.1,16,30,53.3,10,27,37,21,7,3,6,19,-3
"
DET

",10/22/2010,DET vs. MEM,L,240,103,36,80,45.0,7,22,31.8,24,29,82.8,11,28,39,22,6,3,14,16,-3
"
DET

",10/19/2010,DET vs. WAS,W,242,98,37,78,47.4,2,9,22.2,22,27,81.5,8,29,37,21,7,3,17,24,6
"
DET

",10/16/2010,DET @ CHA,L,238,94,34,84,40.5,10,21,47.6,16,24,66.7,11,27,38,20,9,3,17,30,-3
"
DET

",10/15/2010,DET @ MIN,L,241,88,26,77,33.8,4,18,22.2,32,36,88.9,9,32,41,16,11,5,19,26,-11
"
DET

",10/13/2010,DET vs. DAL,L,239,96,35,75,46.7,12,30,40.0,14,17,82.4,6,31,37,29,6,6,15,27,-5
"
DET

",10/11/2010,DET vs. ATL,W,240,94,39,75,52.0,4,9,44.4,12,17,70.6,3,31,34,22,6,3,14,21,9
"
DET

",10/08/2010,DET vs. MIL,W,264,115,43,84,51.2,9,20,45.0,20,23,87.0,9,35,44,28,10,5,22,27,5
"
DET

",10/05/2010,DET @ MIA,L,238,89,26,60,43.3,5,12,41.7,32,46,69.6,8,24,32,13,5,1,17,25,-16
