PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Damien Wilkins,DET,02/10/2012,DET vs. NJN,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-5
Brandon Knight,DET,02/10/2012,DET vs. NJN,W,17,13,4,7,57.1,3,3,100.0,2,3,66.7,1,6,7,5,1,0,2,4,17
Austin Daye,DET,02/10/2012,DET vs. NJN,W,19,2,1,7,14.3,0,2,0.0,0,0,-,1,0,1,0,0,0,0,1,-6
Tayshaun Prince,DET,02/10/2012,DET vs. NJN,W,28,8,4,12,33.3,0,1,0.0,0,0,-,1,6,7,4,0,0,1,2,26
Rodney Stuckey,DET,02/10/2012,DET vs. NJN,W,26,19,7,10,70.0,0,0,-,5,6,83.3,0,3,3,5,1,0,2,3,18
Brandon Knight,DET,02/08/2012,DET @ NJN,W,37,13,4,10,40.0,1,4,25.0,4,5,80.0,0,2,2,4,0,1,4,0,4
Jason Maxiell,DET,02/08/2012,DET @ NJN,W,13,4,2,3,66.7,0,0,-,0,2,0.0,2,2,4,1,0,1,0,3,-4
Walker Russell,DET,02/08/2012,DET @ NJN,W,10,5,2,2,100.0,0,0,-,1,2,50.0,1,0,1,3,0,0,0,3,-1
Austin Daye,DET,02/08/2012,DET @ NJN,W,7,0,0,1,0.0,0,0,-,0,0,-,0,1,1,1,0,0,0,0,9
Greg Monroe,DET,02/08/2012,DET @ NJN,W,35,20,10,16,62.5,0,0,-,0,0,-,3,9,12,4,2,1,1,5,0
Jonas Jerebko,DET,02/08/2012,DET @ NJN,W,35,16,5,12,41.7,0,2,0.0,6,8,75.0,4,3,7,2,2,2,0,4,11
Rodney Stuckey,DET,02/08/2012,DET @ NJN,W,35,12,5,9,55.6,1,2,50.0,1,3,33.3,0,3,3,6,2,0,1,3,0
Ben Wallace,DET,02/08/2012,DET @ NJN,W,13,0,0,0,-,0,0,-,0,0,-,0,4,4,1,2,1,1,1,7
Ben Gordon,DET,02/08/2012,DET @ NJN,W,21,14,6,7,85.7,0,0,-,2,3,66.7,1,4,5,2,2,0,4,2,10
Tayshaun Prince,DET,02/08/2012,DET @ NJN,W,35,15,5,13,38.5,0,1,0.0,5,6,83.3,1,1,2,5,0,0,1,0,-1
Rodney Stuckey,DET,02/04/2012,DET vs. NOH,W,38,17,5,13,38.5,0,0,-,7,8,87.5,1,2,3,3,1,0,1,2,2
Greg Monroe,DET,02/04/2012,DET vs. NOH,W,38,24,10,17,58.8,0,0,-,4,4,100.0,6,10,16,2,1,0,5,2,6
Walker Russell,DET,02/04/2012,DET vs. NOH,W,33,9,4,9,44.4,0,1,0.0,1,3,33.3,0,1,1,4,2,1,2,0,4
Jason Maxiell,DET,02/04/2012,DET vs. NOH,W,33,10,5,7,71.4,0,0,-,0,2,0.0,4,1,5,2,1,1,2,3,1
Ben Wallace,DET,02/04/2012,DET vs. NOH,W,6,0,0,1,0.0,0,0,-,0,0,-,0,2,2,1,1,0,1,0,1
Austin Daye,DET,02/04/2012,DET vs. NOH,W,20,4,1,5,20.0,0,3,0.0,2,2,100.0,0,3,3,0,1,0,1,1,-2
Jonas Jerebko,DET,02/04/2012,DET vs. NOH,W,18,11,5,10,50.0,1,3,33.3,0,0,-,1,4,5,0,0,0,0,2,-1
Tayshaun Prince,DET,02/04/2012,DET vs. NOH,W,35,11,5,14,35.7,1,2,50.0,0,0,-,3,3,6,5,0,0,1,2,0
Brandon Knight,DET,02/04/2012,DET vs. NOH,W,5,2,0,2,0.0,0,1,0.0,2,2,100.0,0,1,1,1,0,0,0,1,3
Damien Wilkins,DET,02/04/2012,DET vs. NOH,W,14,1,0,0,-,0,0,-,1,2,50.0,0,0,0,1,0,0,0,1,-4
Brandon Knight,DET,02/03/2012,DET vs. MIL,W,39,26,10,23,43.5,3,8,37.5,3,3,100.0,0,3,3,7,0,0,0,2,18
Austin Daye,DET,02/03/2012,DET vs. MIL,W,10,4,0,3,0.0,0,0,-,4,4,100.0,0,2,2,0,0,2,2,2,-17
Jason Maxiell,DET,02/03/2012,DET vs. MIL,W,37,8,4,9,44.4,0,0,-,0,0,-,2,10,12,0,0,2,0,1,-13
Damien Wilkins,DET,02/03/2012,DET vs. MIL,W,10,3,1,2,50.0,1,1,100.0,0,0,-,0,1,1,0,1,0,1,3,11
Jonas Jerebko,DET,02/03/2012,DET vs. MIL,W,21,6,3,6,50.0,0,2,0.0,0,0,-,0,3,3,1,1,1,2,2,4
Tayshaun Prince,DET,02/03/2012,DET vs. MIL,W,38,13,6,15,40.0,0,1,0.0,1,2,50.0,3,6,9,3,0,0,2,1,25
Rodney Stuckey,DET,02/03/2012,DET vs. MIL,W,30,10,3,8,37.5,0,2,0.0,4,4,100.0,2,4,6,4,2,0,1,3,-1
Walker Russell,DET,02/03/2012,DET vs. MIL,W,16,0,0,1,0.0,0,0,-,0,0,-,0,0,0,2,1,0,3,1,-12
Greg Monroe,DET,02/03/2012,DET vs. MIL,W,38,18,7,14,50.0,0,0,-,4,6,66.7,4,7,11,2,2,1,4,4,25
Ben Wallace,DET,02/01/2012,DET @ NJN,L,5,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4
Damien Wilkins,DET,02/01/2012,DET @ NJN,L,5,2,1,3,33.3,0,1,0.0,0,1,0.0,0,1,1,0,0,0,0,0,-3
Jason Maxiell,DET,02/01/2012,DET @ NJN,L,23,4,2,8,25.0,0,0,-,0,0,-,1,0,1,4,0,0,1,4,1
Jonas Jerebko,DET,02/01/2012,DET @ NJN,L,31,14,5,10,50.0,1,3,33.3,3,3,100.0,2,1,3,1,0,1,1,3,-8
Walker Russell,DET,02/01/2012,DET @ NJN,L,21,12,5,8,62.5,2,3,66.7,0,0,-,4,2,6,2,0,0,0,3,-9
Greg Monroe,DET,02/01/2012,DET @ NJN,L,37,21,8,11,72.7,0,0,-,5,6,83.3,3,5,8,0,3,1,4,5,5
Tayshaun Prince,DET,02/01/2012,DET @ NJN,L,39,21,9,16,56.3,0,2,0.0,3,4,75.0,1,5,6,4,0,0,1,1,1
Rodney Stuckey,DET,02/01/2012,DET @ NJN,L,24,7,3,5,60.0,1,1,100.0,0,0,-,0,1,1,3,0,0,1,0,9
Brandon Knight,DET,02/01/2012,DET @ NJN,L,43,15,7,18,38.9,1,8,12.5,0,0,-,0,5,5,4,0,0,1,4,4
Austin Daye,DET,02/01/2012,DET @ NJN,L,11,0,0,3,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-11
Jason Maxiell,DET,01/31/2012,DET @ NYK,L,23,6,2,6,33.3,0,1,0.0,2,2,100.0,0,2,2,0,0,0,0,3,-4
Ben Wallace,DET,01/31/2012,DET @ NYK,L,17,0,0,2,0.0,0,0,-,0,0,-,3,3,6,0,0,0,1,2,-17
Tayshaun Prince,DET,01/31/2012,DET @ NYK,L,28,10,5,13,38.5,0,1,0.0,0,0,-,2,2,4,1,0,0,0,3,-27
Brandon Knight,DET,01/31/2012,DET @ NYK,L,26,9,3,8,37.5,1,3,33.3,2,4,50.0,0,1,1,1,0,0,3,2,-19
Rodney Stuckey,DET,01/31/2012,DET @ NYK,L,26,13,5,8,62.5,0,0,-,3,3,100.0,0,0,0,3,0,0,3,2,-18
Vernon Macklin,DET,01/31/2012,DET @ NYK,L,6,2,1,1,100.0,0,0,-,0,2,0.0,0,2,2,1,0,0,1,0,-4
Walker Russell,DET,01/31/2012,DET @ NYK,L,22,8,3,7,42.9,0,0,-,2,2,100.0,0,1,1,3,1,0,2,1,-12
Damien Wilkins,DET,01/31/2012,DET @ NYK,L,21,3,1,4,25.0,0,0,-,1,2,50.0,0,0,0,2,0,0,0,3,-1
Jonas Jerebko,DET,01/31/2012,DET @ NYK,L,15,15,4,4,100.0,1,1,100.0,6,6,100.0,1,3,4,0,0,0,1,3,-6
Greg Monroe,DET,01/31/2012,DET @ NYK,L,32,13,6,11,54.5,0,0,-,1,2,50.0,4,8,12,0,4,0,6,1,-18
Austin Daye,DET,01/31/2012,DET @ NYK,L,25,7,2,7,28.6,1,3,33.3,2,2,100.0,0,3,3,2,1,1,3,2,-9
Jason Maxiell,DET,01/30/2012,DET @ MIL,L,16,3,1,3,33.3,0,0,-,1,2,50.0,2,4,6,0,1,0,1,2,-5
Brandon Knight,DET,01/30/2012,DET @ MIL,L,24,0,0,4,0.0,0,1,0.0,0,0,-,0,1,1,2,1,0,4,3,-20
Austin Daye,DET,01/30/2012,DET @ MIL,L,37,10,4,14,28.6,0,3,0.0,2,2,100.0,1,4,5,3,2,2,2,2,-7
Jonas Jerebko,DET,01/30/2012,DET @ MIL,L,17,10,3,7,42.9,1,2,50.0,3,4,75.0,2,1,3,1,0,0,1,6,-20
Damien Wilkins,DET,01/30/2012,DET @ MIL,L,21,4,0,5,0.0,0,1,0.0,4,4,100.0,0,2,2,0,0,0,0,1,-8
Greg Monroe,DET,01/30/2012,DET @ MIL,L,31,16,8,12,66.7,0,0,-,0,1,0.0,4,6,10,2,1,0,2,4,-6
Walker Russell,DET,01/30/2012,DET @ MIL,L,24,2,1,5,20.0,0,0,-,0,0,-,0,0,0,6,1,0,2,1,-8
Ben Wallace,DET,01/30/2012,DET @ MIL,L,8,0,0,0,-,0,0,-,0,0,-,2,1,3,1,0,0,0,0,-10
Vernon Macklin,DET,01/30/2012,DET @ MIL,L,7,4,2,4,50.0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-2
Tayshaun Prince,DET,01/30/2012,DET @ MIL,L,30,14,7,15,46.7,0,0,-,0,0,-,3,5,8,1,1,1,0,0,-18
Rodney Stuckey,DET,01/30/2012,DET @ MIL,L,26,19,6,14,42.9,0,2,0.0,7,7,100.0,3,0,3,6,2,0,4,1,-1
Rodney Stuckey,DET,01/28/2012,DET @ PHI,L,29,11,3,9,33.3,0,0,-,5,5,100.0,0,0,0,2,1,0,3,1,-14
Tayshaun Prince,DET,01/28/2012,DET @ PHI,L,25,6,3,9,33.3,0,1,0.0,0,2,0.0,0,4,4,1,0,0,1,0,-9
Walker Russell,DET,01/28/2012,DET @ PHI,L,25,3,1,8,12.5,1,3,33.3,0,0,-,1,3,4,5,0,0,1,0,-11
Greg Monroe,DET,01/28/2012,DET @ PHI,L,30,16,6,19,31.6,0,0,-,4,4,100.0,5,5,10,2,1,0,0,2,-19
Austin Daye,DET,01/28/2012,DET @ PHI,L,27,12,5,8,62.5,1,2,50.0,1,2,50.0,0,3,3,2,0,1,1,2,-10
Ben Wallace,DET,01/28/2012,DET @ PHI,L,17,0,0,0,-,0,0,-,0,0,-,0,4,4,0,0,0,0,0,-12
Vernon Macklin,DET,01/28/2012,DET @ PHI,L,8,4,2,2,100.0,0,0,-,0,0,-,1,2,3,1,0,0,0,0,6
Damien Wilkins,DET,01/28/2012,DET @ PHI,L,12,2,1,2,50.0,0,0,-,0,0,-,0,1,1,1,0,0,0,2,-5
Brandon Knight,DET,01/28/2012,DET @ PHI,L,37,9,4,17,23.5,1,4,25.0,0,0,-,1,4,5,3,0,1,2,1,-19
Jonas Jerebko,DET,01/28/2012,DET @ PHI,L,10,2,0,2,0.0,0,1,0.0,2,2,100.0,0,3,3,1,0,0,0,0,1
Jason Maxiell,DET,01/28/2012,DET @ PHI,L,20,9,4,7,57.1,0,0,-,1,2,50.0,3,4,7,0,0,1,2,3,-13
Jonas Jerebko,DET,01/27/2012,DET vs. ATL,L,18,12,5,9,55.6,0,1,0.0,2,2,100.0,3,3,6,1,1,0,2,4,-10
Rodney Stuckey,DET,01/27/2012,DET vs. ATL,L,41,14,4,13,30.8,1,2,50.0,5,5,100.0,1,2,3,5,1,0,2,1,-4
Walker Russell,DET,01/27/2012,DET vs. ATL,L,17,0,0,4,0.0,0,0,-,0,0,-,0,0,0,2,1,0,0,0,4
Ben Wallace,DET,01/27/2012,DET vs. ATL,L,17,2,1,2,50.0,0,0,-,0,0,-,0,5,5,0,0,1,3,1,-4
Damien Wilkins,DET,01/27/2012,DET vs. ATL,L,34,0,0,2,0.0,0,1,0.0,0,0,-,0,3,3,3,0,1,0,3,-3
Greg Monroe,DET,01/27/2012,DET vs. ATL,L,42,22,10,20,50.0,0,0,-,2,3,66.7,4,7,11,4,2,0,0,2,-3
Brandon Knight,DET,01/27/2012,DET vs. ATL,L,42,20,6,18,33.3,4,8,50.0,4,4,100.0,0,5,5,8,1,0,0,3,-6
Austin Daye,DET,01/27/2012,DET vs. ATL,L,27,12,4,11,36.4,2,4,50.0,2,2,100.0,0,3,3,1,1,1,2,6,-5
Jason Maxiell,DET,01/27/2012,DET vs. ATL,L,27,19,8,14,57.1,0,0,-,3,6,50.0,4,4,8,0,0,1,1,2,1
Walker Russell,DET,01/25/2012,DET vs. MIA,L,4,2,1,1,100.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-3
Greg Monroe,DET,01/25/2012,DET vs. MIA,L,31,20,8,14,57.1,0,0,-,4,4,100.0,2,8,10,1,3,1,3,3,-4
Austin Daye,DET,01/25/2012,DET vs. MIA,L,30,28,10,18,55.6,4,8,50.0,4,4,100.0,3,3,6,3,1,0,2,2,2
Rodney Stuckey,DET,01/25/2012,DET vs. MIA,L,34,15,3,5,60.0,0,2,0.0,9,12,75.0,0,4,4,6,1,0,4,6,2
Jonas Jerebko,DET,01/25/2012,DET vs. MIA,L,25,7,3,7,42.9,1,3,33.3,0,0,-,1,5,6,1,0,0,2,2,5
Jason Maxiell,DET,01/25/2012,DET vs. MIA,L,17,0,0,2,0.0,0,0,-,0,0,-,2,3,5,1,0,2,0,0,-1
Damien Wilkins,DET,01/25/2012,DET vs. MIA,L,34,9,4,9,44.4,1,5,20.0,0,0,-,2,1,3,2,0,0,3,4,-11
Ben Wallace,DET,01/25/2012,DET vs. MIA,L,23,0,0,2,0.0,0,0,-,0,0,-,3,2,5,0,0,3,0,2,-6
Brandon Knight,DET,01/25/2012,DET vs. MIA,L,41,17,7,14,50.0,1,4,25.0,2,5,40.0,1,3,4,5,0,0,3,4,1
Jonas Jerebko,DET,01/23/2012,DET @ OKC,L,24,11,4,9,44.4,1,2,50.0,2,2,100.0,1,4,5,0,2,0,2,1,-2
Vernon Macklin,DET,01/23/2012,DET @ OKC,L,9,4,2,6,33.3,0,0,-,0,0,-,2,2,4,0,1,0,0,0,6
Tayshaun Prince,DET,01/23/2012,DET @ OKC,L,32,9,3,9,33.3,1,2,50.0,2,2,100.0,1,1,2,3,1,0,1,0,-22
Greg Monroe,DET,01/23/2012,DET @ OKC,L,27,12,3,14,21.4,0,0,-,6,6,100.0,5,2,7,2,2,0,1,1,-23
Brandon Knight,DET,01/23/2012,DET @ OKC,L,33,13,5,9,55.6,1,4,25.0,2,5,40.0,0,3,3,2,1,0,2,2,-23
Rodney Stuckey,DET,01/23/2012,DET @ OKC,L,23,12,5,11,45.5,0,2,0.0,2,3,66.7,0,3,3,0,0,0,1,3,-15
Jason Maxiell,DET,01/23/2012,DET @ OKC,L,12,2,1,2,50.0,0,0,-,0,2,0.0,1,0,1,0,0,0,2,1,-3
Damien Wilkins,DET,01/23/2012,DET @ OKC,L,26,5,2,5,40.0,0,0,-,1,3,33.3,0,3,3,0,0,0,0,1,-8
Walker Russell,DET,01/23/2012,DET @ OKC,L,17,2,0,5,0.0,0,1,0.0,2,2,100.0,0,1,1,3,1,0,0,1,1
Austin Daye,DET,01/23/2012,DET @ OKC,L,20,9,3,10,30.0,1,3,33.3,2,2,100.0,1,6,7,2,0,0,0,1,-1
Ben Wallace,DET,01/23/2012,DET @ OKC,L,18,0,0,2,0.0,0,0,-,0,0,-,0,2,2,2,2,1,0,0,-10
Walker Russell,DET,01/21/2012,DET vs. POR,W,12,3,1,3,33.3,0,1,0.0,1,1,100.0,0,0,0,2,2,0,2,1,11
Tayshaun Prince,DET,01/21/2012,DET vs. POR,W,38,17,6,14,42.9,1,2,50.0,4,4,100.0,1,1,2,0,0,3,1,2,4
Damien Wilkins,DET,01/21/2012,DET vs. POR,W,19,2,0,2,0.0,0,1,0.0,2,2,100.0,0,2,2,2,0,0,0,0,2
Ben Wallace,DET,01/21/2012,DET vs. POR,W,17,2,1,1,100.0,0,0,-,0,0,-,0,3,3,0,0,1,0,1,-4
Jason Maxiell,DET,01/21/2012,DET vs. POR,W,26,7,3,8,37.5,0,0,-,1,4,25.0,3,4,7,0,1,0,0,4,15
Brandon Knight,DET,01/21/2012,DET vs. POR,W,37,14,4,10,40.0,1,3,33.3,5,6,83.3,0,3,3,3,0,1,1,2,-9
Jonas Jerebko,DET,01/21/2012,DET vs. POR,W,22,11,4,8,50.0,1,3,33.3,2,2,100.0,1,4,5,0,0,2,0,3,4
Rodney Stuckey,DET,01/21/2012,DET vs. POR,W,38,28,8,15,53.3,4,5,80.0,8,9,88.9,0,4,4,5,0,0,3,4,-1
Greg Monroe,DET,01/21/2012,DET vs. POR,W,31,10,3,6,50.0,0,0,-,4,4,100.0,3,5,8,1,2,1,4,4,-7
Greg Monroe,DET,01/20/2012,DET vs. MEM,L,31,10,4,12,33.3,0,0,-,2,4,50.0,3,10,13,4,3,1,4,3,-3
Jason Maxiell,DET,01/20/2012,DET vs. MEM,L,13,4,2,2,100.0,0,0,-,0,0,-,2,1,3,0,0,0,2,0,-15
Tayshaun Prince,DET,01/20/2012,DET vs. MEM,L,37,14,5,13,38.5,1,2,50.0,3,4,75.0,3,2,5,1,1,0,1,0,-8
Walker Russell,DET,01/20/2012,DET vs. MEM,L,20,3,1,2,50.0,0,0,-,1,2,50.0,0,1,1,2,1,0,3,2,-12
Vernon Macklin,DET,01/20/2012,DET vs. MEM,L,4,0,0,0,-,0,0,-,0,0,-,1,1,2,1,0,0,0,0,4
Ben Wallace,DET,01/20/2012,DET vs. MEM,L,16,0,0,0,-,0,0,-,0,0,-,1,1,2,1,1,0,2,0,-8
Jonas Jerebko,DET,01/20/2012,DET vs. MEM,L,31,9,4,5,80.0,1,2,50.0,0,0,-,2,5,7,1,1,0,2,3,-10
Brandon Knight,DET,01/20/2012,DET vs. MEM,L,35,22,6,18,33.3,0,2,0.0,10,10,100.0,0,1,1,4,1,0,4,4,-13
Damien Wilkins,DET,01/20/2012,DET vs. MEM,L,4,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1
Ben Gordon,DET,01/20/2012,DET vs. MEM,L,31,10,3,6,50.0,2,3,66.7,2,4,50.0,0,1,1,1,0,0,3,3,-4
Austin Daye,DET,01/20/2012,DET vs. MEM,L,18,9,4,7,57.1,0,1,0.0,1,2,50.0,1,2,3,2,0,2,4,1,-17
Brandon Knight,DET,01/18/2012,DET @ MIN,L,36,7,3,11,27.3,0,2,0.0,1,2,50.0,1,4,5,6,1,0,4,5,-1
Ben Wallace,DET,01/18/2012,DET @ MIN,L,20,2,1,1,100.0,0,0,-,0,0,-,2,0,2,1,3,1,3,0,-6
Damien Wilkins,DET,01/18/2012,DET @ MIN,L,7,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,1,-6
Rodney Stuckey,DET,01/18/2012,DET @ MIN,L,27,10,4,12,33.3,1,2,50.0,1,4,25.0,0,0,0,3,0,0,1,1,-1
Jason Maxiell,DET,01/18/2012,DET @ MIN,L,23,4,1,2,50.0,0,0,-,2,6,33.3,4,3,7,0,1,1,4,4,1
Jonas Jerebko,DET,01/18/2012,DET @ MIN,L,25,2,1,4,25.0,0,1,0.0,0,0,-,2,6,8,1,0,2,2,5,-7
Austin Daye,DET,01/18/2012,DET @ MIN,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Greg Monroe,DET,01/18/2012,DET @ MIN,L,28,13,5,11,45.5,0,0,-,3,5,60.0,4,8,12,1,2,0,1,6,-6
Tayshaun Prince,DET,01/18/2012,DET @ MIN,L,41,29,13,23,56.5,3,5,60.0,0,0,-,1,2,3,2,1,1,1,2,0
Ben Gordon,DET,01/18/2012,DET @ MIN,L,33,18,7,15,46.7,1,1,100.0,3,4,75.0,0,3,3,1,2,0,2,3,-14
Greg Monroe,DET,01/17/2012,DET @ HOU,L,37,4,2,9,22.2,0,0,-,0,0,-,6,5,11,6,1,1,4,3,-17
Damien Wilkins,DET,01/17/2012,DET @ HOU,L,12,0,0,1,0.0,0,0,-,0,0,-,2,0,2,1,0,0,0,0,1
Jonas Jerebko,DET,01/17/2012,DET @ HOU,L,29,7,2,8,25.0,0,2,0.0,3,4,75.0,3,3,6,1,1,1,2,3,-3
Tayshaun Prince,DET,01/17/2012,DET @ HOU,L,36,20,10,22,45.5,0,2,0.0,0,0,-,0,3,3,0,2,0,3,1,-18
Vernon Macklin,DET,01/17/2012,DET @ HOU,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Brandon Knight,DET,01/17/2012,DET @ HOU,L,36,15,7,16,43.8,1,2,50.0,0,0,-,0,3,3,4,3,0,6,5,-13
Ben Wallace,DET,01/17/2012,DET @ HOU,L,19,0,0,1,0.0,0,0,-,0,0,-,2,2,4,0,0,3,0,0,-16
Ben Gordon,DET,01/17/2012,DET @ HOU,L,40,18,7,15,46.7,1,3,33.3,3,3,100.0,0,2,2,2,3,2,2,2,-22
Rodney Stuckey,DET,01/17/2012,DET @ HOU,L,21,16,6,11,54.5,2,4,50.0,2,2,100.0,1,2,3,3,0,0,1,1,3
Jason Maxiell,DET,01/17/2012,DET @ HOU,L,10,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,1,0
Greg Monroe,DET,01/15/2012,DET vs. GSW,L,39,25,6,12,50.0,0,0,-,13,14,92.9,3,5,8,1,1,1,3,4,-1
Rodney Stuckey,DET,01/15/2012,DET vs. GSW,L,27,14,4,11,36.4,0,1,0.0,6,7,85.7,0,0,0,6,0,0,1,2,-6
Jason Maxiell,DET,01/15/2012,DET vs. GSW,L,9,0,0,3,0.0,0,0,-,0,0,-,1,4,5,0,1,1,0,1,-6
Austin Daye,DET,01/15/2012,DET vs. GSW,L,12,3,1,5,20.0,0,3,0.0,1,2,50.0,1,0,1,1,1,0,1,0,2
Ben Wallace,DET,01/15/2012,DET vs. GSW,L,13,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,3,1,0,0,2,-9
Ben Gordon,DET,01/15/2012,DET vs. GSW,L,35,15,6,12,50.0,3,5,60.0,0,1,0.0,0,2,2,6,1,0,1,2,-8
Tayshaun Prince,DET,01/15/2012,DET vs. GSW,L,40,20,8,15,53.3,2,2,100.0,2,2,100.0,1,6,7,1,0,1,2,2,-1
Brandon Knight,DET,01/15/2012,DET vs. GSW,L,40,8,3,8,37.5,2,6,33.3,0,0,-,0,1,1,5,2,0,3,3,2
Jonas Jerebko,DET,01/15/2012,DET vs. GSW,L,25,6,3,7,42.9,0,1,0.0,0,0,-,1,6,7,0,0,0,2,3,-13
Will Bynum,DET,01/13/2012,DET @ CHA,W,8,3,1,2,50.0,0,0,-,1,2,50.0,0,0,0,1,0,0,0,1,2
Damien Wilkins,DET,01/13/2012,DET @ CHA,W,16,7,3,4,75.0,1,1,100.0,0,0,-,0,1,1,3,1,0,2,2,-1
Brandon Knight,DET,01/13/2012,DET @ CHA,W,35,13,5,11,45.5,2,4,50.0,1,1,100.0,2,8,10,4,1,1,0,4,14
Greg Monroe,DET,01/13/2012,DET @ CHA,W,33,19,9,20,45.0,0,0,-,1,2,50.0,3,6,9,5,1,1,1,1,11
Austin Daye,DET,01/13/2012,DET @ CHA,W,3,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,0,1,-3
Rodney Stuckey,DET,01/13/2012,DET @ CHA,W,20,8,2,8,25.0,1,3,33.3,3,4,75.0,1,4,5,3,0,0,2,2,13
Vernon Macklin,DET,01/13/2012,DET @ CHA,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Jonas Jerebko,DET,01/13/2012,DET @ CHA,W,38,22,9,12,75.0,2,3,66.7,2,2,100.0,4,5,9,1,2,2,1,2,16
Ben Gordon,DET,01/13/2012,DET @ CHA,W,29,14,5,11,45.5,1,3,33.3,3,3,100.0,1,5,6,5,0,1,4,3,8
Ben Wallace,DET,01/13/2012,DET @ CHA,W,22,2,1,2,50.0,0,0,-,0,0,-,1,2,3,1,1,1,0,1,10
Tayshaun Prince,DET,01/13/2012,DET @ CHA,W,32,10,5,11,45.5,0,0,-,0,2,0.0,1,1,2,3,1,0,1,0,18
Jonas Jerebko,DET,01/12/2012,DET @ MIL,L,23,4,2,4,50.0,0,0,-,0,0,-,0,2,2,0,0,0,2,5,-2
Rodney Stuckey,DET,01/12/2012,DET @ MIL,L,20,11,2,7,28.6,0,0,-,7,7,100.0,2,1,3,4,0,1,2,1,0
Ben Wallace,DET,01/12/2012,DET @ MIL,L,11,0,0,0,-,0,0,-,0,0,-,1,3,4,0,1,0,0,1,-5
Tayshaun Prince,DET,01/12/2012,DET @ MIL,L,36,13,6,17,35.3,1,2,50.0,0,0,-,0,1,1,4,0,0,0,1,-19
Greg Monroe,DET,01/12/2012,DET @ MIL,L,40,32,12,16,75.0,0,0,-,8,8,100.0,4,12,16,2,2,1,2,4,-9
Brandon Knight,DET,01/12/2012,DET @ MIL,L,35,20,7,9,77.8,2,2,100.0,4,4,100.0,0,2,2,3,0,1,5,4,-10
Ben Gordon,DET,01/12/2012,DET @ MIL,L,40,9,3,14,21.4,0,1,0.0,3,3,100.0,0,1,1,4,0,0,3,4,-8
Will Bynum,DET,01/12/2012,DET @ MIL,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Jason Maxiell,DET,01/12/2012,DET @ MIL,L,23,2,1,5,20.0,0,0,-,0,0,-,3,2,5,1,2,0,0,1,1
Damien Wilkins,DET,01/12/2012,DET @ MIL,L,12,2,0,2,0.0,0,0,-,2,2,100.0,0,1,1,0,1,0,2,0,10
Damien Wilkins,DET,01/10/2012,DET vs. DAL,L,22,8,4,8,50.0,0,1,0.0,0,0,-,0,0,0,1,0,1,2,3,4
Brandon Knight,DET,01/10/2012,DET vs. DAL,L,36,12,4,9,44.4,4,5,80.0,0,0,-,0,5,5,2,0,0,6,3,-14
Jason Maxiell,DET,01/10/2012,DET vs. DAL,L,28,6,2,5,40.0,0,0,-,2,3,66.7,2,4,6,0,1,0,1,2,1
Ben Gordon,DET,01/10/2012,DET vs. DAL,L,25,11,3,7,42.9,1,1,100.0,4,5,80.0,0,0,0,3,2,0,1,1,-19
Vernon Macklin,DET,01/10/2012,DET vs. DAL,L,9,5,1,2,50.0,0,0,-,3,4,75.0,0,0,0,0,2,1,0,2,9
Greg Monroe,DET,01/10/2012,DET vs. DAL,L,29,9,4,6,66.7,0,0,-,1,2,50.0,3,4,7,2,1,0,2,2,-27
Tayshaun Prince,DET,01/10/2012,DET vs. DAL,L,22,2,1,5,20.0,0,0,-,0,0,-,0,1,1,2,0,0,1,0,-29
Will Bynum,DET,01/10/2012,DET vs. DAL,L,25,20,7,14,50.0,1,3,33.3,5,6,83.3,0,2,2,3,1,0,2,0,6
Ben Wallace,DET,01/10/2012,DET vs. DAL,L,10,2,1,1,100.0,0,0,-,0,0,-,0,3,3,0,0,0,0,0,4
Jonas Jerebko,DET,01/10/2012,DET vs. DAL,L,17,4,2,6,33.3,0,1,0.0,0,0,-,0,2,2,0,0,0,2,3,-17
Austin Daye,DET,01/10/2012,DET vs. DAL,L,18,7,1,6,16.7,0,2,0.0,5,5,100.0,0,3,3,4,0,0,3,2,12
Jason Maxiell,DET,01/09/2012,DET @ CHI,L,24,4,1,12,8.3,0,1,0.0,2,2,100.0,4,1,5,0,0,1,1,1,-8
